app,component,kind,baseline_params,conservative_params,aggressive_params,prr_conservative,prr_aggressive,distinct_types
large:antennapod,de.danoeh.antennapod.ui.screen.playback.audio.CoverFragment,Fragment,9,5,4,44.44,55.56,5
large:antennapod,de.danoeh.antennapod.ui.screen.playback.audio.AudioPlayerFragment,Fragment,9,5,4,44.44,55.56,5
large:antennapod,de.danoeh.antennapod.activity.MainActivity,Activity,4,1,1,75.00,75.00,1
large:antennapod,de.danoeh.antennapod.ui.screen.playback.PlaybackSpeedDialogActivity,Activity,4,1,1,75.00,75.00,1
large:antennapod,de.danoeh.antennapod.ui.screen.episode.ItemFragment,Fragment,9,5,4,44.44,55.56,5
large:antennapod,de.danoeh.antennapod.ui.screen.AllEpisodesFragment,Fragment,9,5,4,44.44,55.56,5
large:antennapod,de.danoeh.antennapod.ui.preferences.screen.NotificationPreferencesFragment,Fragment,9,5,4,44.44,55.56,5
large:antennapod,de.danoeh.antennapod.ui.screen.playback.PlaybackControlsDialog,Fragment,9,5,4,44.44,55.56,5
large:antennapod,de.danoeh.antennapod.activity.OpmlImportActivity,Activity,4,1,1,75.00,75.00,1
large:antennapod,de.danoeh.antennapod.ui.screen.drawer.NavDrawerFragment,Fragment,9,5,4,44.44,55.56,5
large:antennapod,de.danoeh.antennapod.ui.preferences.screen.about.DevelopersFragment,Fragment,9,5,4,44.44,55.56,5
large:antennapod,de.danoeh.antennapod.ui.screen.SearchFragment,Fragment,9,5,4,44.44,55.56,5
large:antennapod,de.danoeh.antennapod.ui.screen.home.sections.SubscriptionsSection,Fragment,9,5,4,44.44,55.56,5
large:antennapod,de.danoeh.antennapod.ui.AllEpisodesFilterDialog,Fragment,9,5,4,44.44,55.56,5
large:antennapod,de.danoeh.antennapod.ui.statistics.years.YearsStatisticsFragment,Fragment,9,5,4,44.44,55.56,5
large:antennapod,de.danoeh.antennapod.playback.service.PlaybackService$5,Receiver,2,2,2,0.00,0.00,2
large:antennapod,de.danoeh.antennapod.ui.preferences.screen.synchronization.GpodderAuthenticationFragment,Fragment,9,5,4,44.44,55.56,5
large:antennapod,com.bytehamster.lib.preferencesearch.SearchPreferenceFragment,Fragment,9,5,4,44.44,55.56,5
large:antennapod,de.danoeh.antennapod.ui.screen.episode.ItemPagerFragment,Fragment,9,5,4,44.44,55.56,5
large:antennapod,de.danoeh.antennapod.ui.widget.PlayerWidget,Receiver,2,2,2,0.00,0.00,2
large:antennapod,de.danoeh.antennapod.ui.screen.download.DownloadLogDetailsDialog,Fragment,9,5,4,44.44,55.56,5
