app,component,kind,baseline_params,conservative_params,aggressive_params,prr_conservative,prr_aggressive,distinct_types
DroidBench:Aliasing_FlowSensitivity1,de.ecspride.MainActivity,Activity,4,1,1,75.00,75.00,1
DroidBench:Aliasing_FlowSensitivity1,de.ecspride.MainActivity$PlaceholderFragment,Fragment,9,5,4,44.44,55.56,5
DroidBench:Aliasing_Merge1,de.ecspride.MainActivity,Activity,4,1,1,75.00,75.00,1
DroidBench:Aliasing_SimpleAliasing1,de.ecspride.MainActivity$PlaceholderFragment,Fragment,9,5,4,44.44,55.56,5
DroidBench:Aliasing_SimpleAliasing1,de.ecspride.MainActivity,Activity,4,1,1,75.00,75.00,1
DroidBench:Aliasing_StrongUpdate1,de.ecspride.MainActivity$PlaceholderFragment,Fragment,9,5,4,44.44,55.56,5
DroidBench:Aliasing_StrongUpdate1,de.ecspride.MainActivity,Activity,4,1,1,75.00,75.00,1
DroidBench:AndroidSpecific_ApplicationModeling1,edu.mit.application_modeling.MainActivity,Activity,4,1,1,75.00,75.00,1
DroidBench:AndroidSpecific_ApplicationModeling1,edu.mit.application_modeling.AnotherActivity,Activity,4,1,1,75.00,75.00,1
DroidBench:AndroidSpecific_DirectLeak1,de.ecspride.MainActivity,Activity,4,1,1,75.00,75.00,1
DroidBench:AndroidSpecific_InactiveActivity,de.ecspride.InactiveActivity,Activity,4,1,1,75.00,75.00,1
DroidBench:AndroidSpecific_Library2,de.ecspride.MainActivity,Activity,4,1,1,75.00,75.00,1
DroidBench:AndroidSpecific_LogNoLeak,de.ecspride.LogNoLeak,Activity,4,1,1,75.00,75.00,1
DroidBench:AndroidSpecific_Obfuscation1,de.ecspride.MainActivity,Activity,4,1,1,75.00,75.00,1
DroidBench:AndroidSpecific_Parcel1,edu.mit.parcel.MainActivity,Activity,4,1,1,75.00,75.00,1
DroidBench:AndroidSpecific_PrivateDataLeak1,de.ecspride.PrivateDateLeakage,Activity,4,1,1,75.00,75.00,1
DroidBench:AndroidSpecific_PrivateDataLeak2,de.ecspride.PrivateDataLeak2,Activity,4,1,1,75.00,75.00,1
DroidBench:AndroidSpecific_PrivateDataLeak3,de.ecspride.MainActivity,Activity,4,1,1,75.00,75.00,1
DroidBench:AndroidSpecific_PublicAPIField1,edu.mit.public_api_field.MainActivity,Activity,4,1,1,75.00,75.00,1
DroidBench:AndroidSpecific_PublicAPIField2,edu.mit.icc_intent_class_modeling.MainActivity,Activity,4,1,1,75.00,75.00,1
DroidBench:AndroidSpecific_View1,de.ecspride.MainActivity,Activity,4,1,1,75.00,75.00,1
DroidBench:ArraysAndLists_ArrayAccess1,de.ecspride.ArrayAccess1,Activity,4,1,1,75.00,75.00,1
DroidBench:ArraysAndLists_ArrayAccess2,de.ecspride.ArrayAccess2,Activity,4,1,1,75.00,75.00,1
DroidBench:ArraysAndLists_ArrayAccess3,de.ecspride.ArrayAccess3,Activity,4,1,1,75.00,75.00,1
DroidBench:ArraysAndLists_ArrayAccess4,de.ecspride.ArrayAccess4,Activity,4,1,1,75.00,75.00,1
DroidBench:ArraysAndLists_ArrayAccess5,de.ecspride.ArrayAccess5,Activity,4,1,1,75.00,75.00,1
DroidBench:ArraysAndLists_ArrayCopy1,edu.mit.array_copy.MainActivity,Activity,4,1,1,75.00,75.00,1
