app,component,kind,baseline_params,emitted_params
FlowSensitivity1.apk,de.ecspride.MainActivity,Activity,4,1
FlowSensitivity1.apk,de.ecspride.MainActivity$PlaceholderFragment,Fragment,9,5
Merge1.apk,de.ecspride.MainActivity,Activity,4,1
SimpleAliasing1.apk,de.ecspride.MainActivity$PlaceholderFragment,Fragment,9,5
SimpleAliasing1.apk,de.ecspride.MainActivity,Activity,4,1
StrongUpdate1.apk,de.ecspride.MainActivity$PlaceholderFragment,Fragment,9,5
StrongUpdate1.apk,de.ecspride.MainActivity,Activity,4,1
ApplicationModeling1.apk,edu.mit.application_modeling.MainActivity,Activity,4,1
ApplicationModeling1.apk,edu.mit.application_modeling.AnotherActivity,Activity,4,1
DirectLeak1.apk,de.ecspride.MainActivity,Activity,4,1
InactiveActivity.apk,de.ecspride.InactiveActivity,Activity,4,1
Library2.apk,de.ecspride.MainActivity,Activity,4,1
LogNoLeak.apk,de.ecspride.LogNoLeak,Activity,4,1
Obfuscation1.apk,de.ecspride.MainActivity,Activity,4,1
Parcel1.apk,edu.mit.parcel.MainActivity,Activity,4,1
PrivateDataLeak1.apk,de.ecspride.PrivateDateLeakage,Activity,4,1
PrivateDataLeak2.apk,de.ecspride.PrivateDataLeak2,Activity,4,1
PrivateDataLeak3.apk,de.ecspride.MainActivity,Activity,4,1
PublicAPIField1.apk,edu.mit.public_api_field.MainActivity,Activity,4,1
PublicAPIField2.apk,edu.mit.icc_intent_class_modeling.MainActivity,Activity,4,1
View1.apk,de.ecspride.MainActivity,Activity,4,1
ArrayAccess1.apk,de.ecspride.ArrayAccess1,Activity,4,1
ArrayAccess2.apk,de.ecspride.ArrayAccess2,Activity,4,1
ArrayAccess3.apk,de.ecspride.ArrayAccess3,Activity,4,1
ArrayAccess4.apk,de.ecspride.ArrayAccess4,Activity,4,1
ArrayAccess5.apk,de.ecspride.ArrayAccess5,Activity,4,1
ArrayCopy1.apk,edu.mit.array_copy.MainActivity,Activity,4,1
ArrayToString1.apk,edu.mit.to_string.MainActivity,Activity,4,1
HashMapAccess1.apk,de.ecspride.HashMapAccess1,Activity,4,1
ListAccess1.apk,de.ecspride.ListAccess1,Activity,4,1
MultidimensionalArray1.apk,edu.mit.array_slice.MainActivity,Activity,4,1
AnonymousClass1.apk,de.ecspride.AnnonymousClass1,Activity,4,1
Button1.apk,de.ecspride.Button1,Activity,4,1
Button2.apk,de.ecspride.Button2,Activity,4,1
Button3.apk,de.ecspride.MainActivity,Activity,4,1
Button4.apk,de.ecspride.Button4,Activity,4,1
Button5.apk,edu.mit.button_object_allocation.Button1,Activity,4,1
LocationLeak1.apk,de.ecspride.LocationLeak1,Activity,4,1
LocationLeak2.apk,de.ecspride.LocationLeak2,Activity,4,1
LocationLeak3.apk,de.ecspride.LocationLeak3,Activity,4,1
MethodOverride1.apk,de.ecspride.MethodOverride1,Activity,4,1
MultiHandlers1.apk,de.ecspride.MultiHandlers2,Activity,4,1
MultiHandlers1.apk,de.ecspride.MultiHandlers1,Activity,4,1
Ordering1.apk,de.ecspride.MainActivity,Activity,4,1
RegisterGlobal1.apk,de.ecspride.MainActivity,Activity,4,1
RegisterGlobal2.apk,de.ecspride.MainActivity,Activity,4,1
Unregister1.apk,de.ecspride.MainActivity,Activity,4,1
DynamicBoth1.apk,edu.wayne.cs.MainActivity,Activity,4,1
DynamicSink1.apk,edu.wayne.cs.MainActivity,Activity,4,1
DynamicSource1.apk,edu.wayne.cs.MainActivity,Activity,4,1
Battery1.apk,com.example.newedtester.MainActivity,Activity,4,1
Battery1.apk,com.example.newedtester.MainActivity$1,Receiver,2,2
Bluetooth1.apk,com.example.newedtester.MainActivity,Activity,4,1
Build1.apk,com.example.newedtester.MainActivity,Activity,4,1
Contacts1.apk,com.example.newedtester.MainActivity,Activity,4,1
ContentProvider1.apk,de.ecspride.MainActivity,Activity,4,1
ContentProvider1.apk,de.ecspride.MyContentProvider,Provider,0,0
DeviceId1.apk,com.example.newedtester.MainActivity,Activity,4,1
File1.apk,com.example.newedtester.MainActivity,Activity,4,1
IMEI1.apk,de.ecspride.MainActivity,Activity,4,1
IP1.apk,com.example.newedtester.MainActivity,Activity,4,1
PI1.apk,com.example.newedtester.MainActivity,Activity,4,1
PlayStore1.apk,de.ecspride.MainActivity,Activity,4,1
PlayStore2.apk,com.google.android.gms.maps.SupportMapFragment,Fragment,9,5
PlayStore2.apk,com.google.android.gms.ads.purchase.InAppPurchaseActivity,Activity,4,1
PlayStore2.apk,com.example.newedtester.MainActivity,Activity,4,1
PlayStore2.apk,com.google.android.gms.analytics.AnalyticsReceiver,Receiver,2,2
PlayStore2.apk,com.google.android.gms.wallet.fragment.SupportWalletFragment,Fragment,9,5
PlayStore2.apk,com.google.android.gms.analytics.CampaignTrackingReceiver,Receiver,2,2
PlayStore2.apk,com.google.android.gms.gcm.GcmListenerService,Service,8,2
PlayStore2.apk,com.google.android.gms.internal.zzaz$5,Receiver,2,2
PlayStore2.apk,com.google.android.gms.tagmanager.zzbl,Receiver,2,2
PlayStore2.apk,com.google.android.gms.gcm.GcmTaskService,Service,8,2
PlayStore2.apk,com.google.android.gms.ads.AdActivity,Activity,4,1
PlayStore2.apk,com.google.android.gms.measurement.internal.zzr,Receiver,2,2
PlayStore2.apk,com.google.android.gms.internal.zzlp$zzb$1,Receiver,2,2
PlayStore2.apk,com.google.android.gms.maps.StreetViewPanoramaFragment,Fragment,9,5
PlayStore2.apk,com.google.android.gms.drive.events.DriveEventService,Service,8,2
