app,mode,analyzed_components,dmm_null,total_paths,time_s,peak_heap_mb
com.uberspot.a2048_25,baseline,1,31,69,0.06,103.3
com.uberspot.a2048_25,ours,1,31,66,0.07,117.0
com.tuyafeng.watt,baseline,8,1622,890,51.97,4307.0
com.tuyafeng.watt,ours,8,1622,871,24.97,3394.0
net.gitsaibot.af,baseline,25,1902,2233,35.54,4318.1
net.gitsaibot.af,ours,25,1902,2279,34.66,4298.9
jp.takke.cpustats,baseline,12,958,1000,60.37,4303.3
jp.takke.cpustats,ours,12,958,969,30.16,3360.2
com.mobile.bummerzaehler,baseline,24,856,1885,0.83,848.8
com.mobile.bummerzaehler,ours,24,856,1809,0.75,879.0
com.gimranov.zandy.app,baseline,13,521,1008,0.17,111.0
com.gimranov.zandy.app,ours,13,521,969,0.18,134.9
ch.bailu.aat,baseline,53,1090,5594,3.56,1104.6
ch.bailu.aat,ours,53,1090,5537,3.37,1110.1
com.asdoi.quicktiles,baseline,72,1476,3948,59.54,4294.8
com.asdoi.quicktiles,ours,72,1476,3608,58.56,4294.2
it.discorsionline.discorsi,baseline,44,3191,5059,2.84,2447.8
it.discorsionline.discorsi,ours,44,3191,4927,2.95,2443.3
kr.ieodo,baseline,12,1091,1061,1.63,1141.8
kr.ieodo,ours,12,1091,1025,2.23,1142.4
xyz.myachin.downloader,baseline,36,1314,3791,65.39,4296.6
xyz.myachin.downloader,ours,36,1314,3739,63.11,4296.9
kick.wpapp,baseline,29,1640,2185,1.32,1227.8
kick.wpapp,ours,29,1640,2119,1.33,663.6
appnewnessoflifefellowshiporg.wpapp,baseline,28,1609,2101,1.33,578.5
appnewnessoflifefellowshiporg.wpapp,ours,28,1609,2038,1.19,584.2
f.fajrak.barbatstudio.smartturnv2,baseline,30,1863,2714,31.60,4110.5
f.fajrak.barbatstudio.smartturnv2,ours,30,1863,2649,16.07,3403.6
com.pinayromances.twa.en,baseline,21,857,2154,2.78,1101.9
com.pinayromances.twa.en,ours,21,857,2101,2.57,1100.8
app.fedilab.openmaps,baseline,19,3016,1655,0.70,3552.9
app.fedilab.openmaps,ours,19,3016,1598,0.75,3596.0
net.easyjoin.zipnship,baseline,11,681,1388,1.27,1068.6
net.easyjoin.zipnship,ours,11,681,1358,1.14,1056.9
com.e.ulillgo,baseline,20,1339,1630,17.12,3399.8
com.e.ulillgo,ours,20,1339,1582,16.54,3389.4
usd.aleavt.usd,baseline,3,38,1345,1.36,546.9
usd.aleavt.usd,ours,3,38,1336,1.40,513.2
com.alb.plusapp,baseline,1,26,69,0.14,210.1
com.alb.plusapp,ours,1,26,66,0.13,177.2
