app,leaks,time_s,heap_mb,status
Lifecycle_ActivityEventSequence1,1,2.76,44.8,OK
Lifecycle_ActivityEventSequence2,0,2.82,42.2,OK
Lifecycle_ActivityEventSequence3,0,2.91,39.8,OK
Lifecycle_ActivityLifecycle1,0,2.28,33.2,OK
Lifecycle_ActivityLifecycle2,1,2.33,22.9,OK
Lifecycle_ActivityLifecycle3,1,2.46,22.9,OK
Lifecycle_ActivityLifecycle4,1,2.37,22.9,OK
Lifecycle_ActivitySavedState1,0,2.23,39.2,OK
Lifecycle_ApplicationLifecycle1,1,2.29,23.0,OK
Lifecycle_ApplicationLifecycle2,1,2.54,22.9,OK
Lifecycle_ApplicationLifecycle3,1,2.54,23.8,OK
Lifecycle_AsynchronousEventOrdering1,1,2.44,23.5,OK
Lifecycle_BroadcastReceiverLifecycle1,1,2.04,22.0,OK
Lifecycle_BroadcastReceiverLifecycle2,0,2.30,35.1,OK
Lifecycle_BroadcastReceiverLifecycle3,1,3.16,36.8,OK
Lifecycle_EventOrdering1,1,2.33,23.5,OK
Lifecycle_FragmentLifecycle1,1,3.19,35.9,OK
Lifecycle_FragmentLifecycle2,0,3.00,181.4,OK
Lifecycle_ServiceEventSequence1,0,2.91,45.7,OK
Lifecycle_ServiceEventSequence2,0,3.21,42.5,OK
Lifecycle_ServiceEventSequence3,0,2.82,45.6,OK
Lifecycle_ServiceLifecycle1,1,2.06,23.0,OK
Lifecycle_ServiceLifecycle2,1,2.31,23.9,OK
Lifecycle_SharedPreferenceChanged1,0,2.09,33.2,OK
Callbacks_AnonymousClass1,0,2.33,35.0,OK
Callbacks_Button1,1,2.17,23.5,OK
Callbacks_Button2,1,2.23,23.8,OK
Callbacks_Button3,1,2.32,23.8,OK
Callbacks_Button4,1,2.26,23.5,OK
Callbacks_Button5,0,2.16,35.4,OK
Callbacks_LocationLeak1,0,2.38,32.5,OK
Callbacks_LocationLeak2,0,2.19,32.4,OK
Callbacks_LocationLeak3,0,2.28,35.6,OK
Callbacks_MethodOverride1,1,2.16,27.4,OK
Callbacks_MultiHandlers1,0,2.72,35.8,OK
Callbacks_Ordering1,0,2.29,35.7,OK
Callbacks_RegisterGlobal1,1,2.40,37.4,OK
Callbacks_RegisterGlobal2,1,2.44,24.5,OK
Callbacks_Unregister1,1,2.27,27.7,OK
Aliasing_FlowSensitivity1,0,3.15,49.5,OK
Aliasing_Merge1,1,2.42,26.4,OK
Aliasing_SimpleAliasing1,1,3.20,44.4,OK
Aliasing_StrongUpdate1,0,3.09,49.8,OK
FieldAndObjectSensitivity_FieldSensitivity1,0,2.31,32.5,OK
FieldAndObjectSensitivity_FieldSensitivity2,0,2.10,34.8,OK
FieldAndObjectSensitivity_FieldSensitivity3,1,2.17,23.0,OK
FieldAndObjectSensitivity_FieldSensitivity4,0,2.31,34.6,OK
FieldAndObjectSensitivity_InheritedObjects1,1,2.32,27.2,OK
FieldAndObjectSensitivity_ObjectSensitivity1,0,2.17,33.6,OK
FieldAndObjectSensitivity_ObjectSensitivity2,0,2.12,34.9,OK
AndroidSpecific_ApplicationModeling1,1,2.23,23.7,OK
AndroidSpecific_DirectLeak1,1,2.26,28.5,OK
AndroidSpecific_InactiveActivity,0,1.79,87.1,OK
AndroidSpecific_Library2,1,2.37,24.6,OK
AndroidSpecific_LogNoLeak,0,1.93,110.0,OK
AndroidSpecific_Obfuscation1,1,2.29,27.8,OK
AndroidSpecific_Parcel1,0,2.14,33.3,OK
AndroidSpecific_PrivateDataLeak1,0,2.44,33.0,OK
AndroidSpecific_PrivateDataLeak2,0,2.18,35.4,OK
AndroidSpecific_PrivateDataLeak3,0,2.55,35.7,OK
AndroidSpecific_PublicAPIField1,0,2.42,35.7,OK
AndroidSpecific_PublicAPIField2,0,2.41,35.9,OK
AndroidSpecific_View1,1,2.82,29.1,OK
GeneralJava_Clone1,0,2.40,33.1,OK
GeneralJava_Exceptions1,1,2.71,34.5,OK
GeneralJava_Exceptions2,1,2.77,32.1,OK
GeneralJava_Exceptions3,1,2.71,35.6,OK
GeneralJava_Exceptions4,0,2.49,40.2,OK
GeneralJava_Exceptions5,0,2.53,42.6,OK
GeneralJava_Exceptions6,1,2.61,44.1,OK
GeneralJava_Exceptions7,0,2.70,39.7,OK
GeneralJava_FactoryMethods1,0,2.19,33.1,OK
GeneralJava_Loop1,0,2.14,34.4,OK
GeneralJava_Loop2,0,2.11,34.0,OK
GeneralJava_Serialization1,0,2.21,33.5,OK
GeneralJava_SourceCodeSpecific1,1,2.16,24.1,OK
GeneralJava_StartProcessWithSecret1,0,2.20,115.2,OK
GeneralJava_StaticInitialization1,0,2.11,32.2,OK
GeneralJava_StaticInitialization2,1,2.19,40.0,OK
GeneralJava_StaticInitialization3,0,2.37,35.7,OK
GeneralJava_StringFormatter1,0,2.26,33.5,OK
GeneralJava_StringPatternMatching1,0,2.34,35.9,OK
GeneralJava_StringToCharArray1,0,2.23,35.9,OK
GeneralJava_StringToOutputStream1,0,2.29,35.3,OK
GeneralJava_UnreachableCode,0,2.12,110.0,OK
GeneralJava_VirtualDispatch1,2,2.29,33.8,OK
GeneralJava_VirtualDispatch2,2,2.25,27.6,OK
GeneralJava_VirtualDispatch3,1,2.29,28.7,OK
GeneralJava_VirtualDispatch4,0,2.23,115.1,OK
ImplicitFlows_ImplicitFlow1,0,2.28,34.0,OK
ImplicitFlows_ImplicitFlow2,0,2.16,35.2,OK
ImplicitFlows_ImplicitFlow3,0,2.23,33.2,OK
ImplicitFlows_ImplicitFlow4,0,2.17,35.4,OK
ImplicitFlows_ImplicitFlow5,0,2.69,39.6,OK
ImplicitFlows_ImplicitFlow6,0,2.71,39.4,OK
InterComponentCommunication_ActivityCommunication1,1,2.20,23.7,OK
InterComponentCommunication_ActivityCommunication2,2,2.23,27.1,OK
InterComponentCommunication_ActivityCommunication3,2,2.20,28.2,OK
InterComponentCommunication_ActivityCommunication4,2,2.22,28.3,OK
InterComponentCommunication_ActivityCommunication5,2,2.24,28.0,OK
InterComponentCommunication_ActivityCommunication6,2,2.45,23.9,OK
InterComponentCommunication_ActivityCommunication7,2,2.42,29.6,OK
InterComponentCommunication_ActivityCommunication8,2,2.21,28.8,OK
InterComponentCommunication_BroadcastTaintAndLeak1,1,2.32,26.4,OK
InterComponentCommunication_ComponentNotInManifest1,1,2.23,29.1,OK
InterComponentCommunication_EventOrdering1,1,2.22,28.1,OK
InterComponentCommunication_IntentSink1,0,2.05,110.0,OK
InterComponentCommunication_IntentSink2,0,2.28,35.8,OK
InterComponentCommunication_IntentSource1,0,2.18,33.7,OK
InterComponentCommunication_ServiceCommunication1,0,2.31,115.1,OK
