app,leaks,time_s,heap_mb,status
fDroid:app.fedilab.openmaps,0,14.40,149.6,OK
fDroid:ch.bailu.aat,1,15.61,149.1,OK
fDroid:com.asdoi.quicktiles,0,9.86,107.6,OK
fDroid:com.gimranov.zandy.app,11,82.05,252.1,OK
fDroid:com.mobile.bummerzaehler,0,6.76,76.9,OK
fDroid:com.tuyafeng.watt,0,9.65,99.5,OK
fDroid:com.uberspot.a2048_25,0,2.56,171.2,OK
fDroid:jp.takke.cpustats,0,11.51,122.7,OK
fDroid:net.gitsaibot.af,0,7.03,95.9,OK
GooglePlay:appnewnessoflifefellowshiporg.wpapp,3,318.01,1129.6,OK
GooglePlay:com.alb.plusapp,0,3.88,136.0,OK
GooglePlay:com.e.ulillgo,0,4.82,192.9,OK
GooglePlay:com.pinayromances.twa.en,0,5.06,48.2,OK
GooglePlay:f.fajrak.barbatstudio.smartturnv2,1,353.79,356.9,OK
GooglePlay:it.discorsionline.discorsi,0,19.75,189.0,OK
GooglePlay:kick.wpapp,3,426.55,667.1,OK
GooglePlay:kr.ieodo,0,8.02,98.0,OK
GooglePlay:net.easyjoin.zipnship,0,10.48,115.9,OK
GooglePlay:usd.aleavt.usd,0,6.47,554.0,OK
fDroid:xyz.myachin.downloader,-1,900.00,0.0,TIMEOUT
