app,activities,fragments,services,receivers,providers,has_fragment,commit_calls,commitNow_calls,baseline_params,conservative_params,aggressive_params,prr_conservative,prr_aggressive,lcs_flowdroid,lcs_dmmpp,lcs_ours,edges_fd,edges_dmmpp,edges_ours
DroidBench:Aliasing_FlowSensitivity1,1,1,0,0,0,true,1,0,13,6,5,53.85,61.54,0.2866,0.8571,1.0000,506,28,24
DroidBench:Aliasing_Merge1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:Aliasing_SimpleAliasing1,1,1,0,0,0,true,1,0,13,6,5,53.85,61.54,0.2866,0.8571,1.0000,506,28,24
DroidBench:Aliasing_StrongUpdate1,1,1,0,0,0,true,1,0,13,6,5,53.85,61.54,0.2866,0.8571,1.0000,506,28,24
DroidBench:AndroidSpecific_ApplicationModeling1,2,0,0,0,0,false,0,0,8,2,2,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:AndroidSpecific_DirectLeak1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:AndroidSpecific_InactiveActivity,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:AndroidSpecific_Library2,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:AndroidSpecific_LogNoLeak,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:AndroidSpecific_Obfuscation1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:AndroidSpecific_Parcel1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:AndroidSpecific_PrivateDataLeak1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:AndroidSpecific_PrivateDataLeak2,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:AndroidSpecific_PrivateDataLeak3,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:AndroidSpecific_PublicAPIField1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:AndroidSpecific_PublicAPIField2,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:AndroidSpecific_View1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:ArraysAndLists_ArrayAccess1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:ArraysAndLists_ArrayAccess2,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:ArraysAndLists_ArrayAccess3,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:ArraysAndLists_ArrayAccess4,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:ArraysAndLists_ArrayAccess5,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:ArraysAndLists_ArrayCopy1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:ArraysAndLists_ArrayToString1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:ArraysAndLists_HashMapAccess1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:ArraysAndLists_ListAccess1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:ArraysAndLists_MultidimensionalArray1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:Callbacks_AnonymousClass1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:Callbacks_Button1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:Callbacks_Button2,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:Callbacks_Button3,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:Callbacks_Button4,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:Callbacks_Button5,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:Callbacks_LocationLeak1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:Callbacks_LocationLeak2,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:Callbacks_LocationLeak3,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:Callbacks_MethodOverride1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:Callbacks_MultiHandlers1,2,0,0,0,0,false,0,0,8,2,2,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:Callbacks_Ordering1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:Callbacks_RegisterGlobal1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:Callbacks_RegisterGlobal2,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:Callbacks_Unregister1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:DynamicLoading_DynamicBoth1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
DroidBench:DynamicLoading_DynamicSink1,1,0,0,0,0,false,0,0,4,1,1,75.00,75.00,0.1364,1.0000,1.0000,110,13,10
